"Product ID","Model Reference","Name","Category","Description","Database Version","Last Checked Date","Air Flow","Communication Protocol","Connection","Connection Type","Cooling","Cooling Type","Current","Drive Type","Efficiency","Flow Coefficient (Cv)","Flow Rate","FlowRate","Frame Size","Frequency","Gear Ratio","Head","Housing Material","IP Rating","Inlet Size","Input Power","Input Speed","Input Voltage","Insulation Class","Lubrication","Material","Maximum Pressure","Media Type","Mounting","Mounting Type","Noise Level","Nominal Diameter","Operating Temp","Operation","Outlet Size","Output Speed","Output Torque","Output Voltage","Power","Power Factor","Power Rating","Pressure","Pressure Rating","Protection Rating","Speed","Tank Capacity","Temperature","Valve Type","Voltage","Weight"
"M-100","M-100","Heavy Duty Induction Motor","Motors","Standard three-phase asynchronous motor designed for general manufacturing machinery, conveying systems, and factory applications. Durable cast iron construction ensures long operational life.","1","18 Aug 2026","","","","","TEFC (Totally Enclosed Fan Cooled)","","10.5 A","","89.5%","","","","132S","50 Hz","","","Cast Iron","IP55","","","","","Class F","","","","","Foot Mount (B3)","","","","-20°C to +40°C","","","","","","5.5 kW","0.83","","","","","1440 RPM","","","","415 V","45 kg"
"M-101","M-101","Premium High Efficiency Motor","Motors","Ultra-high efficiency IE3 class motor engineered to optimize energy costs in continuous process operations. Perfect for heavy-duty pumps, compressors, and high-demand applications.","10","18 Aug 2026","","","","","TEFC (Totally Enclosed Fan Cooled)","","14.2 A","","91.0%","","","","132M","50 Hz","","","Cast Iron","IP55","","","","","Class F","","","","","Foot Mount (B3)","","","","-20°C to +40°C","","","","","","7.5 kW","0.86","","","","","1460 RPM","","","","415 V","45 kg"
"M-102","M-102","Compact High-Speed Motor","Motors","High-speed 2-pole industrial motor designed for applications requiring high rotational velocity, such as blowers, turbochargers, and high-speed cutting tools.","1","18 Aug 2026","","","","","TEFC","","20.1 A","","91.8%","","","","160M","50 Hz","","","Cast Iron","IP55","","","","","Class F","","","","","Flange Mount (B5)","","","","-15°C to +45°C","","","","","","11 kW","0.88","","","","","2900 RPM","","","","415 V","78 kg"
"M-103","M-103","Low-Speed High-Torque Motor","Motors","Slow-running 6-pole motor tailored specifically for driving heavy machinery where high starting torque is required at lower rotational speeds.","1","18 Aug 2026","","","","","TEFC","","29.5 A","","90.2%","","","","180L","50 Hz","","","Cast Iron","IP55","","","","","Class F","","","","","Foot Mount (B3)","","","","-20°C to +40°C","","","","","","15 kW","0.82","","","","","960 RPM","","","","415 V","145 kg"
"M-104","M-104","Explosion-Proof Motor","Motors","Certified flameproof and explosion-proof motor for installation in hazardous industrial atmospheres where flammable gases, vapors, or dust may be present. Certified ATEX zone 1 & 2.","1","18 Aug 2026","","","","","TEFC - Flameproof Ex d","","14.5 A","","90.5%","","","","132M","50 Hz","","","Reinforced Cast Iron","IP65","","","","","Class H","","","","","Foot Mount (B3)","","","","-20°C to +60°C","","","","","","7.5 kW","0.85","","","","","1440 RPM","","","","415 V","65 kg"
"M-105","M-105","Single Phase Utility Motor","Motors","High-starting torque capacitor-run single-phase motor suitable for workshop and light industrial machinery where three-phase power supply is unavailable.","1","18 Aug 2026","","","","","TEFC","","12.8 A","","83.0%","","","","100L","50 Hz","","","Aluminum","IP44","","","","","Class B","","","","","Foot Mount (B3)","","","","-10°C to +40°C","","","","","","2.2 kW","0.95","","","","","1440 RPM","","","","230 V","24 kg"
"M-106","M-106","High Power Industrial Motor","Motors","Heavy-duty three-phase motor designed to handle extreme industrial loads in steel mills, cement plants, and mining conveyors. Highly rigid casting ensures low vibration.","1","18 Aug 2026","","","","","TEFC","","33.2 A","","92.4%","","","","180M","50 Hz","","","Cast Iron","IP55","","","","","Class F","","","","","Foot Mount (B3)","","","","-20°C to +40°C","","","","","","18.5 kW","0.87","","","","","1440 RPM","","","","415 V","162 kg"
"M-107","M-107","Marine Grade Induction Motor","Motors","Corrosion-resistant induction motor designed for shipboard and maritime operations. Special epoxy paint and stainless hardware resist salt air spray and humidity.","1","18 Aug 2026","","","","","TEFC Marine Grade","","20.2 A","","91.2%","","","","160S","50 Hz","","","Epoxy Coated Cast Iron","IP65","","","","","Class F","","","","","Foot/Flange (B35)","","","","-20°C to +50°C","","","","","","11 kW","0.85","","","","","1440 RPM","","","","415 V","89 kg"
"M-108","M-108","Dual-Speed Pole-Changing Motor","Motors","Pole-changing Dahlander motor providing two distinct pre-set operational speeds (1440 RPM and 2900 RPM) to allow flexible process adjustment without a VFD.","1","18 Aug 2026","","","","","TEFC","","11.2 / 14.8 A","","88.0% / 89.5%","","","","132S","50 Hz","","","Cast Iron","IP55","","","","","Class F","","","","","Foot Mount (B3)","","","","-15°C to +40°C","","","","","","5.5 kW / 7.5 kW","0.84 / 0.88","","","","","1440 / 2900 RPM","","","","415 V","55 kg"
"M-109","M-109","Ultra-Premium IE4 Super-Efficiency Motor","Motors","State-of-the-art permanent magnet synchronous motor delivering IE4 super-efficiency. Saves up to 25% energy when paired with variable speed drives in duty-heavy environments.","1","18 Aug 2026","","","","","TEFC - Synchronous PM","","26.5 A","","94.8%","","","","160L","50 Hz","","","Cast Iron","IP65","","","","","Class H","","","","","Foot/Flange (B35)","","","","-20°C to +55°C","","","","","","15 kW","0.93","","","","","1500 RPM","","","","415 V","110 kg"
